contract_id,business_unit,vendor_name,contract_type,category,start_date,end_date,annual_value,total_contract_value,status,auto_renewal,renewal_notice_days,discount_pct,owner,priority
CTR-2024001,Corporate Services,Wipro,Service,Maintenance,2023-10-13,2026-03-28,39626.71,158506.84,At Risk,Y,30,5.8,David Park,Medium
CTR-2024002,Supply Chain Operations,Infosys,License,Data License,2024-07-23,2026-03-23,4035229.47,20176147.35,At Risk,Y,30,19.1,Robert Singh,High
CTR-2024003,Financial Services,Palantir,Service,Maintenance,2024-06-25,2026-04-08,28377.0,141885.0,At Risk,Y,90,15.7,Christopher Lee,Low
CTR-2024004,Healthcare Division,IBM,License,Software License,2024-04-11,2026-03-13,13191.68,65958.4,At Risk,Y,60,0.0,Lisa Patel,Medium
CTR-2024005,Healthcare Division,Capgemini,Subscription,Cloud Infrastructure,2023-05-27,2026-03-15,627311.9,1881935.7,At Risk,N,60,0.0,Daniel Murphy,Medium
CTR-2024006,Supply Chain Operations,Microsoft,License,Technology License,2023-03-07,2026-03-28,90161.13,450805.65,Pending Renewal,Y,30,0.0,David Park,Medium
CTR-2024007,Financial Services,Google Cloud,License,Technology License,2024-06-22,2026-03-17,184673.43,738693.72,Active,Y,60,1.2,David Park,High
CTR-2024008,Technology Solutions,CrowdStrike,Lease,Office Space,2025-08-16,2026-03-31,32129.04,96387.12,Pending Renewal,Y,90,0.0,Jennifer Kim,Low
CTR-2024009,Healthcare Division,VMware,Service,Maintenance,2025-07-18,2026-04-25,4503411.76,4503411.76,Active,Y,30,0.0,Maria Rodriguez,High
CTR-2024010,Supply Chain Operations,Splunk,License,IP License,2023-11-27,2026-04-28,4689736.32,14069208.96,Pending Renewal,N,30,9.1,Rachel Green,Low
CTR-2024011,Healthcare Division,Wipro,License,Software License,2023-06-11,2026-04-26,852818.6,852818.6,Active,N,90,13.7,Stephanie Chang,High
CTR-2024012,Supply Chain Operations,Iron Mountain,Lease,Equipment Lease,2024-02-16,2026-04-23,199272.4,797089.6,Pending Renewal,Y,30,8.5,Rachel Green,Medium
CTR-2024013,Technology Solutions,Oracle,License,Software License,2023-05-01,2026-04-25,11256.52,11256.52,Active,Y,90,13.5,Daniel Murphy,Medium
CTR-2024014,Supply Chain Operations,Zoom Communications,Lease,Equipment Lease,2025-04-13,2026-04-22,36359.31,36359.31,Pending Renewal,N,120,0.0,Rachel Green,Medium
CTR-2024015,Corporate Services,Databricks,Service,Staffing,2023-08-12,2026-04-14,31451.43,31451.43,Pending Renewal,N,30,0.0,Rachel Green,High
CTR-2024016,Supply Chain Operations,Iron Mountain,Service,IT Support,2023-01-31,2026-04-24,4394782.94,4394782.94,Pending Renewal,N,120,1.5,Kevin O'Brien,Medium
CTR-2024017,Financial Services,TCS,Subscription,Communication Suite,2025-09-23,2026-06-01,18708.04,18708.04,Active,Y,30,0.0,Jennifer Kim,High
CTR-2024018,Supply Chain Operations,Microsoft,Lease,Equipment Lease,2023-06-14,2026-05-16,33801.4,169007.0,Active,N,30,0.0,Amanda Foster,Medium
CTR-2024019,Supply Chain Operations,SAP,Service,Facilities Management,2025-12-06,2026-05-16,1817036.8,3634073.6,Active,Y,60,16.1,Jennifer Kim,Medium
